Calculation1,School,City,County/State/Country,Measure Names,Measure Values
ANIMO LEADERSHIP CHARTER HS051257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Adm GPA,4.275384615
ANIMO LEADERSHIP CHARTER HS051257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,App GPA,3.982727273
ANIMO PAT BROWN CHARTER HS054238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,Enrl GPA,
ANIMO PAT BROWN CHARTER HS054238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,Adm GPA,4.15
ANIMO PAT BROWN CHARTER HS054238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,App GPA,3.902608696
ANIMO RALPH BUNCHE CHARTER HS054259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Enrl GPA,
ANIMO RALPH BUNCHE CHARTER HS054259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Adm GPA,
ANIMO RALPH BUNCHE CHARTER HS054259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,App GPA,3.95625
ANIMO S LOS ANGELES CHARTER HS053975,ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,Enrl GPA,
ANIMO S LOS ANGELES CHARTER HS053975,ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,Adm GPA,
ANIMO S LOS ANGELES CHARTER HS053975,ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,App GPA,3.6335
