Calculation1,City,County/State/ Territory,Count,gender,School,Pivot Field Values
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,Adm,Female,ACADEMY OF MEDICAL ARTS AT CARSON,3
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,App,Female,ACADEMY OF MEDICAL ARTS AT CARSON,9
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,Enr,All,ACADEMY OF MEDICAL ARTS AT CARSON,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,Adm,All,ACADEMY OF MEDICAL ARTS AT CARSON,3
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,App,All,ACADEMY OF MEDICAL ARTS AT CARSON,15
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,Enr,Unknown,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,Adm,Unknown,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,App,Unknown,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,Enr,Other,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,Adm,Other,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,App,Other,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,Enr,Male,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,Adm,Male,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,App,Male,ACADEMY OF SCIENTIFIC EXPLORAT,7
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,Enr,Female,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,Adm,Female,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,App,Female,ACADEMY OF SCIENTIFIC EXPLORAT,6
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,Enr,All,ACADEMY OF SCIENTIFIC EXPLORAT,
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,Adm,All,ACADEMY OF SCIENTIFIC EXPLORAT,3
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Los Angeles,App,All,ACADEMY OF SCIENTIFIC EXPLORAT,13
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Enr,Unknown,ACADEMY OF THE CANYONS,
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Adm,Unknown,ACADEMY OF THE CANYONS,
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,App,Unknown,ACADEMY OF THE CANYONS,
